dig,iap,iau,ndn,tts,tec,rdf,fin,agdp,tin,url,gov,net,tra,edu,icl,title,text
5.413652965,2632.62,1276.09,91.16,1143.9,261435,7681473,1.321451367,1.925255445,-0.045155328,64.96,0.12843368,4.896495613,0.54491443,-2.311981733,32657.6,0.007235096,-4.179608376
5.579163628,4768.88,1906.83,208.8,1613.54,307264,8535689.1,1.358040761,1.991648041,0.025073028,66.32,0.15496675,4.879006852,0.49644279,-2.330088005,35537.1,0.004404618,-3.655941242
5.591360045,4720.62,2159.71,336.16,1116.48,393147,9357877.1,1.344863614,2.059034732,0.098006541,67.72,0.14759914,4.86190324,0.47311088,-2.345151754,38529,0.019879912,-2.97245856
5.762208603,5455.12,2464.57,207.56,1794.18,377115,10301447,1.339233728,2.147240367,0.157883703,68.91,0.1454621,4.899182182,0.4869093,-2.352107031,42045.7,0.018468077,-2.536572641
5.878995492,5970.97,2653.79,149.19,4101.33,455590,11473921,1.375106004,2.232484465,0.193747696,70.02,0.15355814,4.975560641,0.49326924,-2.348824349,45839.8,0.037035474,-2.110490614
5.959690042,6284.4,2778.91,184.01,6717,435883,12742260,1.400791961,2.290208822,0.259035654,71.58,0.16123095,5.006225586,0.49392883,-2.347945799,49898.8,0.048621579,-1.943042932
6.008518302,6031.51,2938.83,167.5,8309.99,507050,13958988,1.521415727,2.309937994,0.316087297,72.17,0.15603614,4.890048331,0.52152929,-2.34936175,52397.4,0.050918849,-1.776864943
4.570889252,1063.77,507.01,11.93,372.2,74888,2089813.8,0.84343716,1.121579837,-0.267797096,46.3,0.23013004,4.102643365,0.13520212,-2.079745636,13593,0,-6.82986874
5.016153375,1124.6,546.8,21.16,534,93353,2477246.1,0.885729828,1.235587744,-0.224277944,47.87,0.22620073,4.184337601,0.13695495,-2.098433032,15154.3,-0.002418923,-5.311503928
5.196229268,1175.7,563.82,35.6,549.2,99160,2847303.2,0.930040805,1.323886901,-0.172541934,49.31,0.22371128,4.238589196,0.13414314,-2.109150762,16795.5,0.007235096,-4.179608376
5.353184268,2211.53,913.29,48.9,707.27,127709,3221421.9,1.019093463,1.378564563,-0.020648725,50.97,0.23807589,4.222004585,0.12504401,-2.113608662,18362.6,0.004404618,-3.655941242
5.432760843,2527.33,1075.03,74.54,489.54,172552,3709223.8,1.083142005,1.474442592,0.065769014,52.62,0.22627974,4.249922794,0.11213582,-2.104778763,19998.1,0.019879912,-2.97245856
5.604330396,2872.24,1323.65,72.15,831.8,175872,4361174.8,1.101752187,1.591110996,0.127988559,54.29,0.22961766,4.357862008,0.12290766,-2.087327402,21863.3,0.018468077,-2.536572641
5.716468334,3373.97,1662.42,90.47,2260.95,207428,4973027.4,1.105602202,1.723890965,0.203683425,55.65,0.21902021,4.472095832,0.12226654,-2.061203989,23983.6,0.037035474,-2.110490614
5.799971056,3481.29,1864.7,151.36,4006.7,166871,5765370.5,0.988447734,1.801066029,0.23625719,57.02,0.19917616,4.519612298,0.12868224,-2.043028065,26415.1,0.048621579,-1.943042932
5.858390193,3543.65,2092.99,154.83,5053.59,202298,6394210.6,1.068444035,1.831156449,0.256214625,58.33,0.19321288,4.592490133,0.14034658,-2.025297431,28103.2,0.050918849,-1.776864943
4.813890217,1439.84,737.95,81.57,514.2,42773,2381656.2,0.879711184,1.666932936,-0.270163096,59.32,0.13234845,4.689511334,0.48753057,-2.180867089,19141,0,-6.82986874
5.210032452,1439.4,835.6,66.13,738.4,53701,2791965.8,0.920506632,1.762244833,-0.276558832,60.8,0.14032976,4.736373872,0.46598272,-2.186527786,21218,-0.002418923,-5.311503928
5.311184232,1618.68,899.17,90.21,694.3,58075,3153831.2,0.945302394,1.851740747,-0.282900191,61.99,0.1374598,4.721796998,0.43692427,-2.170722012,23330.8,0.007235096,-4.179608376
5.502114986,2335.32,1044.8,200.6,860.61,83146,3469810.1,0.998858434,1.91174748,-0.20847787,63.22,0.15402647,4.683981366,0.39211767,-2.149539587,25404.4,0.004404618,-3.655941242
5.532084289,2482.29,1144.62,509.59,588.52,130376,3882632.1,0.999472827,2.001804272,-0.138809296,64.39,0.14839687,4.676187673,0.35180943,-2.129233967,27607.9,0.019879912,-2.97245856
5.70137959,2861.77,1373.6,882.49,908.95,128079,4487933.8,0.982780211,2.125346596,-0.060263937,65.78,0.14555145,4.698842662,0.34119717,-2.110941802,30047.8,0.018468077,-2.536572641
5.812457491,3244.96,1629.12,736.37,2026.23,166610,5249416.9,0.947161062,2.248329521,-0.076426504,66.98,0.13497639,4.74961679,0.32055299,-2.078470477,32643.9,0.037035474,-2.110490614
5.887519696,3232.05,1779.04,695.12,3235.5,153133,5985139.2,0.882609887,2.329441217,-0.020131281,67.87,0.11977662,4.777525578,0.31473761,-2.045870906,35616.1,0.048621579,-1.943042932
5.940513299,3370,1831.02,324.9,3908.46,174867,6669130.9,0.973710638,2.359135544,0.026466648,68.75,0.11880721,4.736987611,0.31983926,-2.014162327,37202.4,0.050918849,-1.776864943
4.521027418,719.32,371.99,7.71,278.7,12458,925984.5,0.76830173,1.051651001,-0.43199904,47.39,0.23316457,4.048300624,0.16468593,-1.837688614,13567,0,-6.82986874
4.984496636,868.6,410.1,9.61,379.2,16938,1106442.9,0.819268203,1.161653439,-0.407470618,49.04,0.24082264,4.12826278,0.15914411,-1.897392735,15099.7,-0.002418923,-5.311503928
5.168721078,975.14,434.24,18.01,394.4,25594,1284642.3,0.868459983,1.25242977,-0.350589214,50.55,0.2470755,4.16960663,0.16753271,-1.887553391,16734.2,0.007235096,-4.179608376
5.339219358,1693.24,710.94,35.6,550.37,36936,1474968.4,0.958319537,1.320059736,-0.222448793,52.3,0.26384884,4.195245147,0.1573704,-1.869451609,18437.1,0.004404618,-3.655941242
5.410574049,2055.59,822.5,38.5,386.54,60494,1797561.3,1.01317912,1.409766229,-0.105019463,53.99,0.24960268,4.225226615,0.14458996,-1.863689226,20109.6,0.019879912,-2.97245856
5.58788516,1985.92,997.07,33.23,661.48,70591,2216865.2,1.071886139,1.501361267,-0.055924,55.7,0.25549289,4.312408568,0.14812276,-1.848113228,22031.5,0.018468077,-2.536572641
5.69113618,2032.68,1323.36,77.1,1609.18,86001,2677714,1.097147483,1.616351558,0.064972802,57.34,0.25779198,4.465908119,0.1403722,-1.822979882,24079.7,0.037035474,-2.110490614
5.765598543,2369.5,1448.78,156.68,2838.5,91474,3202150.6,1.106654199,1.698183684,0.085764767,59.07,0.25797435,4.489647095,0.14231925,-1.8127323,26262.5,0.048621579,-1.943042932
5.830738128,2532.85,1510.52,130.67,3537.88,109738,3460219.1,1.203298437,1.741605876,0.112471175,60.44,0.25977775,4.543720224,0.15578655,-1.813326106,28016.5,0.050918849,-1.776864943
4.608664075,2144.86,1364.12,46.9,797.5,128614,9056006.8,0.675596769,1.489473725,-0.18772332,52.03,0.11805913,4.365643155,0.36082308,-2.159342979,17126.7,0,-6.82986874
5.070789217,2537,1465.1,432.39,1063.8,155170,10528097,0.70080692,1.582541629,-0.109299374,53.46,0.12110738,4.449918901,0.34865508,-2.16848131,19008.3,-0.002418923,-5.311503928
5.203347129,2949.1,1523.9,304.17,1066.8,158619,11755482,0.725930052,1.647368178,-0.046157034,54.77,0.12077607,4.483002552,0.33503271,-2.156974885,20864.2,0.007235096,-4.179608376
5.396623055,4003.35,1980.82,199.3,1269.06,193220,12917718,0.768444385,1.726419382,0.030015009,56.97,0.13094769,4.525044142,0.27104976,-2.145376827,22703.2,0.004404618,-3.655941242
